# OpenCC s2twp 誤轉修正表
#
# 格式：<錯誤詞><TAB><正確詞><TAB><說明>
# 以 # 開頭的行與空行會被忽略。
#
# 這些是 OpenCC s2twp 詞彙表在本知識庫語境下轉錯的詞。
# 修正是「單向且冪等」的：重跑腳本不會二次破壞（錯誤詞已不存在）。
#
# 新增條目前請先確認該詞在**本庫語境**下確實是誤轉，
# 不要把單純的用語偏好（例如 文本/文字）加進來 —— 那會讓腳本
# 在未來的 upstream 內容上做出過度改動。

全域性	全域	OpenCC 已知 bug：全局 → 全域性
許可權	權限	OpenCC 已知 bug：权限 → 許可權
登錄檔	註冊表	注册表 指 index.md 登記表，非 Windows Registry
只讀	唯讀	台灣慣用「唯讀」
僅讀	唯讀	同上
質量	品質	本庫語境皆為 quality，非物理質量(mass)
用戶	使用者	全庫統一，避免「用戶/使用者」混用
自定義	自訂	台灣慣用「自訂」
釋出	發布	本庫語境為發布白皮書/產品，非軟體 release
搜索	搜尋	台灣慣用「搜尋」
檔名稱.png	檔案名稱.png	s2twp 把「文件名称」縮成「檔名稱」，語意破損
